日期,最高气温
2023-01-01,15
2023-01-02,14
2023-01-03,12
2023-01-04,12
2023-01-05,17
2023-01-06,21
2023-01-07,20
2023-01-08,18
2023-01-09,17
2023-01-10,14
2023-01-11,17
2023-01-12,20
2023-01-13,18
2023-01-14,26
2023-01-15,11
2023-01-16,8
2023-01-17,11
2023-01-18,10
2023-01-19,15
2023-01-20,15
2023-01-21,13
2023-01-22,17
2023-01-23,15
2023-01-24,16
2023-01-25,7
2023-01-26,16
2023-01-27,16
2023-01-28,12
2023-01-29,15
2023-01-30,17
2023-01-31,21
2023-02-01,18
2023-02-02,18
2023-02-03,13
2023-02-04,11
2023-02-05,15
2023-02-06,21
2023-02-07,16
2023-02-08,13
2023-02-09,17
2023-02-10,14
2023-02-11,15
2023-02-12,22
2023-02-13,26
2023-02-14,11
2023-02-15,13
2023-02-16,16
2023-02-17,19
2023-02-18,26
2023-02-19,21
2023-02-20,16
2023-02-21,14
2023-02-22,15
2023-02-23,18
2023-02-24,19
2023-02-25,16
2023-02-26,14
2023-02-27,18
2023-02-28,22
2023-03-01,25
2023-03-02,16
2023-03-03,18
2023-03-04,22
2023-03-05,22
2023-03-06,23
2023-03-07,24
2023-03-08,26
2023-03-09,26
2023-03-10,26
2023-03-11,26
2023-03-12,23
2023-03-13,17
2023-03-14,22
2023-03-15,24
2023-03-16,24
2023-03-17,26
2023-03-18,16
2023-03-19,15
2023-03-20,25
2023-03-21,28
2023-03-22,30
2023-03-23,24
2023-03-24,16
2023-03-25,16
2023-03-26,13
2023-03-27,16
2023-03-28,16
2023-03-29,16
2023-03-30,15
2023-03-31,18
2023-04-01,22
2023-04-02,25
2023-04-03,24
2023-04-04,24
2023-04-05,21
2023-04-06,17
2023-04-07,15
2023-04-08,19
2023-04-09,22
2023-04-10,26
2023-04-11,31
2023-04-12,20
2023-04-13,23
2023-04-14,29
2023-04-15,30
2023-04-16,33
2023-04-17,31
2023-04-18,27
2023-04-19,28
2023-04-20,22
2023-04-21,20
2023-04-22,23
2023-04-23,24
2023-04-24,23
2023-04-25,20
2023-04-26,17
2023-04-27,24
2023-04-28,25
2023-04-29,29
2023-04-30,19
2023-05-01,27
2023-05-02,26
2023-05-03,30
2023-05-04,32
2023-05-05,32
2023-05-06,31
2023-05-07,22
2023-05-08,21
2023-05-09,23
2023-05-10,26
2023-05-11,24
2023-05-12,24
2023-05-13,27
2023-05-14,25
2023-05-15,30
2023-05-16,28
2023-05-17,30
2023-05-18,34
2023-05-19,28
2023-05-20,26
2023-05-21,30
2023-05-22,31
2023-05-23,24
2023-05-24,26
2023-05-25,31
2023-05-26,32
2023-05-27,29
