价格,租房信息,房型
900元/月,合租 | 直租月付 万彩城新退主卧独卫 龙泉路 财大附近 同德,主卧(2室)                        30㎡
500元/月,合租 | 毕业季特价房 无中介月付 近爱琴海购物中心 公园19,次卧(3室)                        26㎡
1900元/月,整租 | 日新地铁口旁 小区中间位置！！带家具家电 有电梯 航,3室                        85.41㎡
1650元/月,整租 | 晓东村地铁站旁 紫金中心 回来世界 世纪金缘 拎包入,1室                        50㎡
2300元/月,整租 | 吾悦广场旁精装三室带全套家具家电南北通透近地铁近商圈,3室                        102.23㎡
2500元/月,整租 | 吾悦广场旁中铁芙蓉精装三房 实拍无中介 可月付 近大,3室                        120㎡
1700元/月,整租 | 沃尔玛口朝九晚五精装三房双卫带部分家具南向房采光采阳,3室                        112.54㎡
2200元/月,整租 | 直租无中介押一付一星耀路新亚洲体育城新螺蛳湾官渡古镇,2室                        68.99㎡
1250元/月,整租 | 无中介，拎包入住！米佳公寓，配套齐全出门就是圆通山地,1室                        40㎡
1500元/月,整租 | 呈贡 市政府旁 宜和路地铁口 中交锦绣雅郡 精装公寓,1室                        48.0㎡
500元/月,合租 | 可月付短租无中介 近南悦城省中医院大商汇双河湾希望汇,主卧(2室)                        35㎡
2200元/月,整租 | 急租 可以看西山 百集龙滇池一英里 3室 家具家电,3室                        108.50㎡
1900元/月,整租 | 海伦国际里约区 3室2厅1卫 精装修带家具拎包入住,3室                        96.94㎡
1700元/月,整租 | 巫家坝精装2房带家具家电，价格，视野开阔，急租,2室                        49.0㎡
1500元/月,整租 | 可月付拎包入住两室跃层海乐世界官渡古镇大都摩天,2室                        34㎡
1200元/月,整租 | 可月付无中介，近延安医院，金平果，大宥城，瑞鼎城，新,1室                        30㎡
500元/月,合租 | 直租丨个人明通路，近昆明火车站，押一付一，环城南路，,次卧(3室)                        16㎡
2200元/月,整租 | 巫家坝地铁口 3室 便宜出租  拎包入住 官渡人民医,3室                        108㎡
1600元/月,整租 | 海乐世界 海伦城市广场 海伦农贸市场 可月付,2室                        58㎡
500元/月,合租 | 直租无中介 0押金 近万达广场 前卫营 大商汇 南亚,(3室)                        20㎡
599元/月,合租 | 格林威治单间带投影 近万象城 融城金阶春晓 吴井路,主卧(2室)                        30㎡
500元/月,合租 | 免押金 无中介直租 可月付国贸中心近石虎关立交 关上,次卧(3室)                        30㎡
400元/月,合租 | 特惠！实习生免押金！碧鸡公园 肿瘤医院 明波立交桥,(3室)                        26㎡
2600元/月,整租 | 直租押一付一无中介沸，近海乐世界，巫家坝，关上，国贸,3室                        125.0㎡
400元/月,合租 | 特惠实习生免押金！可月付！新华医院 昆明广场 奥斯迪,(3室)                        25㎡
2500元/月,整租 | 直租中海寰宇中心 可月份 近巫家坝地铁站 拎包入住,3室                        108㎡
1500元/月,整租 | 未名城紫光公寓 1室1厅1卫  精装修42平米,1室                        42.0㎡
600元/月,合租 | 房东（无中介）新亚洲体育城 星耀路地铁口 星云园 拎,次卧(3室)                        20㎡
400元/月,合租 | 单间丨 延安医院 恒隆广场 大树营 万象城 拓东体育,次卧(2室)                        20㎡
520元/月,合租 | 直租免押金，无中介！月付包水电，东风广场 延安医院,(3室)                        30㎡
1050元/月,整租 | 西城时代十四中学旁团山欣城多套俩室带空房出租民水民电,2室                        65.48㎡
1300元/月,整租 | 融创微风十里 3室2厅2卫 107平 南北通透 精装,3室                        107.00㎡
2300元/月,整租 | 雨花毓秀   精装四房 小区中心位,4室                        187.0㎡
2700元/月,整租 | 师大实验旁精装2房带全套家具家电2700随时看房拎包,2室                        74㎡
2400元/月,整租 | 万科翡翠滨江2期精装三房,3室                        105㎡
530元/月,合租 | 官南大道 日新路 航空小区 银海森林 盛世岭南 无中,次卧(3室)                        18㎡
1100元/月,整租 | 斗南地铁口包物业押一付一,1室                        62.40㎡
1400元/月,整租 | 霖雨桥地铁 云南映象广场 城市公园广场1室1厅1卫,1室                        49㎡
699元/月,合租 | 羊肠村地铁站丨无中介可0押金丨实图真房丨可短租月付丨,次卧(5室)                        15㎡
2400元/月,整租 | 压一付一无中介全新装修带家具家电，近官渡古镇关上国际,3室                        111㎡
900元/月,合租 | 教场东路碧桂园龙腾世家全新一室 只租900啦,次卧(4室)                        25㎡
2300元/月,整租 | 压一付一无中介近海乐世界广福路森林公园官渡古镇，拎包,3室                        113.0㎡
1100元/月,合租 | 带露台带独立卫生间 标准一室一厅一卫 拎包入住 首租,主卧(5室)                        28㎡
1000元/月,合租 | 广福城雅福园 奥宸财富中心 润城 恒宇商业商场 南悦,(3室)                        30㎡
1500元/月,整租 | 俊发城逸璟峰一期紫宸苑 1室1厅1卫 配套齐全 精装,1室                        38.80㎡
999元/月,合租 | 押一付一 整租 壹号广场 云大医院 海伦堡中央广场小,(1室)                        45㎡
1050元/月,整租 | 五华区西城时代旁团山欣城多套俩室出租民水民电通天然气,2室                        65.2㎡
4888元/月,整租 | 直租可月付 爱情海购物广场 大商汇 万达广场  豪华,3室                        127㎡
2200元/月,整租 | 海伦堡中央广场云大医院旁,3室                        89㎡
750元/月,合租 | 同德旁金呈公寓18平月付无押临地铁,(7室)                        18㎡
3000元/月,整租 | 万达广场公园1903附近高端三室大平层无中介押一付一,3室                        130㎡
1800元/月,整租 | 金昙花园带家具拎包入住,3室                        79.63㎡
1600元/月,整租 | 火车北站地铁口中北公司两室两厅带全套家具家电拎包入住,2室                        80㎡
2300元/月,整租 | 5号地铁口 押一付一装修清爽家电家具两房,2室                        70.62㎡
1850元/月,整租 | 押一付一无中介，近西南林业大学标准两房全套家具拎包入,2室                        72.1㎡
1500元/月,整租 | 巫家坝 近雨龙路 精装端头 大落地窗 loft双卫,2室                        45㎡
750元/月,合租 | 考研公寓单间出租实力锦城主卧带独卫阳台包水电网物业无,主卧(4室)                        30㎡
650元/月,合租 | 希望汇丨无中介丨可0押金丨实图真房丨可短租月付丨拎包,主卧(5室)                        15㎡
850元/月,合租 | 无中介精装单间直租月付可短租家具家电齐全幸福广场双桥,主卧(3室)                        30㎡
3800元/月,整租 | 直租无中介 可月付三室两卫精装修近 万达广场金地中心,3室                        127.1㎡
3500元/月,整租 | 带车位  大平层 精装修 出租,4室                        202.26㎡
3600元/月,整租 | 多套南向双搭急租 昆明广场悦中心商住楼 随时入住,2室                        68㎡
1700元/月,整租 | 无中介，海伦国际一室一厅80平，全套家具家电，拎包入,1室                        80㎡
2300元/月,整租 | 万科翡翠滨江2期精装三房,3室                        105㎡
1800元/月,整租 | 押一付一 无中介 标准1室一厅 近新亚洲体育城少女主,1室                        46.1㎡
1200元/月,整租 | 斗南地铁口包物业押一付一,2室                        64㎡
2100元/月,整租 | 直租无中介 可月付标准一室一厅一厨一卫精装修近巫家坝,1室                        70㎡
580元/月,整租 | 实拍精装一室，押一付一，无中介，新广丰进地铁口,1室                        25㎡
588元/月,合租 | 免押金壹号广场地铁口月付无中介可短租近粱家河地铁站,主卧(3室)                        25㎡
700元/月,合租 | 独立阳台 拎包入住标准 直租无中介 押一付一随时看房,次卧(5室)                        18㎡
2600元/月,整租 | 押一付一 无中介 南部地铁口 阳台已封 拎包入住 新,3室                        124㎡
900元/月,合租 | 无中介 可月付 可短租 近小西门 翠湖 爱尔信南疆校,次卧(3室)                        35㎡
2000元/月,整租 | 朗悦湾商圈旁丨精装两房丨全套家具家电丨拎包入住丨清爽,2室                        70.0㎡
500元/月,合租 | 无中介 近同德广场 麻线营 白云路 穿金路,次卧(3室)                        20㎡
600元/月,合租 | 春融街地铁站花千坊美食街,(4室)                        16㎡
1400元/月,整租 | 未名城 整租小公寓 可压一付一 实拍图 玩的就是真实,1室                        30.62㎡
500元/月,合租 | 直租无中介废 包物业费宽带 450 押一付一拎包入住,次卧(5室)                        18㎡
1400元/月,整租 | 碧桂园龙腾世家靠近白云路 小菜园地铁站 一室一厅 可,1室                        47㎡
1800元/月,整租 | 押一付一 无中介 新亚洲体育城 星耀地铁口 新螺蛳湾,1室                        65.41㎡
1050元/月,整租 | 西城时代旁团山欣城多套俩室带空房带家具家电出租民水民,2室                        64.15㎡
1850元/月,整租 | 龙腾世家 同德广场旁  近小菜园地铁站  两室一厅,2室                        71㎡
1900元/月,整租 | 直租0中介 可月付标准一室一卫家具家电齐全近大商汇广,1室                        53.0㎡
1400元/月,整租 | 实拍押一付一无中介近920医院大观楼嘉丽达商城床 沙,1室                        43.09㎡
1900元/月,整租 | 近世博园，金殿，欣都龙城，随时看房，双地铁，北辰财富,2室                        88㎡
980元/月,整租 | 无中介，押一付一，近地铁口，近新广丰，小庄村，精装,1室                        36㎡
1800元/月,整租 | 人民西路地铁口精装修2居室拎包入住壹号广场电梯好房1,2室                        60.5㎡
600元/月,合租 | 考研公寓单间出租实力锦城次卧包水电网物业无中介,次卧(4室)                        20㎡
1500元/月,整租 | 急租昆明之光民大旁93平米三室两厅一卫，拎包入住,3室                        93.16㎡
1200元/月,整租 | 可月付无中介，近瑞鼎城爱情海，新迎新城，延安医院，大,1室                        30㎡
780元/月,整租 | 实拍无中介，押一付一，近地铁口，近新广丰，小庄村，精,1室                        25㎡
1500元/月,整租 | 房间干净整洁，近北辰地铁口，欣都龙城，北辰财富中心,1室                        53.37㎡
2100元/月,整租 | 精装两室急租 近同德广场 龙泉路 金星 小菜园 万宏,2室                        68㎡
2600元/月,整租 | 省中医院南悦城华都花园 精装4房 带家具仅租2600,4室                        143㎡
1500元/月,整租 | 龙泉路昆八中财经大学对面文理学院旁裕沣园精装修两房随,2室                        88㎡
1400元/月,整租 | 长水航城石斛苑 3室2厅2卫 南北通透 104平 电,3室                        104.06㎡
1300元/月,整租 | 四楼 宁静校园环境 停车方便 科业路德哥饭店旁 财大,2室                        62㎡
1250元/月,2412旅居优选|租期灵活 独立卫浴 免费公区 管家服务,1室                        38㎡
1300元/月,整租 | 温馨复式两房 拎包入住 家具家电齐全 大学城南站地铁,2室                        37.6㎡
1700元/月,整租 | 三室两卫 精装修拎包入住 1700月 新小区 环境优,3室                        105.85㎡
1500元/月,整租 | 地铁口  可季度付 2室2厅1卫 57平 电梯房 精,2室                        57.67㎡
2200元/月,整租 | 昆明融创乐园，押一付一精装修直租，拎包入住,3室                        130㎡
800元/月,整租 | 近螺蛳湾体育城和地铁站精装修带家具家电0中介拎包入住,1室                        20㎡
990元/月,整租 | 小菜园莲花池畔动物博物馆民族中学附近精装修一室一厅阳,1室                        60㎡
1300元/月,整租 | 中天阳光100小区精装2室空房1300一个月新出房源,2室                        76.0㎡
800元/月,整租 | 新亚洲 官渡古镇 云南省大剧院博物馆超大一室一厅带阳,1室                        30㎡
1800元/月,整租 | 带全套家具家电拎包入住，温馨三房中高楼层视野开阔，采,3室                        89.99㎡
1700元/月,整租 | 带家具家电（沃尔玛旁）朝九晚五小区 精装三房急租,3室                        112.54㎡
829元/月,整租 | 联大街地铁站旁边涌鑫哈佛多套公寓出租，家具家电齐全，,1室                        31.42㎡
1900元/月,整租 | 新螺蛳湾 拎包入住 带车位 地铁口,3室                        97㎡
1900元/月,整租 | 四十三医院大观楼昆五沃尔玛超市海鲜农贸市场篆新农贸市,3室                        86㎡
1700元/月,整租 | 新迎中学对面6楼三室两厅全套家具1700,3室                        83㎡
1500元/月,整租 | 江东境界旁 朗悦湾 2室 1500 看房方便,2室                        86.52㎡
2300元/月,整租 | 月牙塘小区新出一楼带花园的房子出租,3室                        80.46㎡
1800元/月,整租 | 三室两厅整租，精装修，采光好，南部客运站，新螺蛳湾，,3室                        110㎡
1500元/月,整租 | 七彩云南古滇名城繁花里精装两房带家具家电拎包住150,2室                        73㎡
1900元/月,整租 | 万达旁 1900loft精装公寓大悦城 云芳 润城复,1室                        41.0㎡
1500元/月,整租 | 地铁口 和悦铭著 吾悦广场 精装复式 拎包入住,2室                        43.80㎡
2600元/月,整租 | 一二一大街云南大学对面 精装三房 全套家具家电 南北,3室                        72㎡
1100元/月,整租 | 近万达双塔近儿童医院整租押一付一随时看房拎包入住可月,1室                        70㎡
1660元/月,整租 | 安琪儿医院昆医附二院带全套家电家具拎包入住,3室                        50.80㎡
1250元/月,整租 | 吴井路一环边百富琪旁广电小区3楼中装二室出租 带部份,2室                        65㎡
1900元/月,整租 | 世博园大门口东方玫瑰园3房出租,3室                        123.28㎡
1800元/月,整租 | 北市区 霖雨桥地铁口 江东小康城3房 房东急租,3室                        118.73㎡
1700元/月,整租 | 东华延安医院香博苑精装一室loft公寓包宽带民用水电,1室                        47㎡
1600元/月,整租 | 近海乐世界 万科公园城市精装端头三房出租  电梯房,3室                        89.4㎡
