标题,地址(小区名),出租类型,房子类型,面积,价格,所在区县
整租·银海三区 1室0厅 南,银海三区,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1480,义乌市
整租·诚信二区 1室0厅 东南/南/北,诚信二区,整租,1室0厅1卫 45.00㎡ 精装修,面积：45.00㎡,2000,义乌市
整租·春晗二区 1室0厅 东南/南/北,春晗二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,义乌市
整租·春晗四区 1室1厅 东南/南/北,春晗四区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2300,义乌市
整租·赵宅二区 1室0厅 东南/南,赵宅二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1450,义乌市
整租·荷叶塘开发区第五小区 2室1厅 东南/南,荷叶塘开发区第五小区,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,2500,义乌市
整租·宾王商贸区 1室1厅 东南/南,宾王商贸区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2580,义乌市
整租·北下朱小区 1室0厅 东南/南,北下朱小区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1880,义乌市
整租·丹溪三区香樟苑 1室1厅 东南/南,丹溪三区香樟苑,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2580,义乌市
整租·下门二区 1室1厅 东南/南,下门二区,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,1999,义乌市
整租·兴中小区 1室0厅 东南/南,兴中小区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1400,义乌市
整租·柳青七区 1室0厅 东南/南,柳青七区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,义乌市
整租·城北路322号 1室1厅 东南/南,城北路322号,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2600,义乌市
整租·站前路159号 1室0厅 东南/南,站前路159号,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,2000,义乌市
整租·宗塘一区 1室0厅 南,宗塘一区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,义乌市
整租·楼下新村一区 1室1厅 东南/南,楼下新村一区,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,3280,义乌市
整租·楼下新村一区 1室1厅 南/北,楼下新村一区,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,3280,义乌市
整租·四季六区 1室0厅 西南,四季六区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1350,义乌市
整租·柳青八区 1室1厅 东南,柳青八区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1800,义乌市
整租·凌云三区 1室1厅 东南,凌云三区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1500,义乌市
整租·黎明二区 1室1厅 东南/南,黎明二区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1780,义乌市
整租·童店三区 1室1厅 东南/南,童店三区,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,2380,义乌市
整租·莲塘二区 1室0厅 西南,莲塘二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1500,义乌市
整租·青口北区 2室1厅 南,青口北区,整租,2室1厅1卫 68.00㎡ 精装修,面积：68.00㎡,3280,义乌市
整租·下王三区 1室0厅 东南,下王三区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1450,义乌市
整租·下朱A区 1室1厅 西南,下朱A区,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,2000,义乌市
整租·春晗四区 1室0厅 南,春晗四区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1480,义乌市
整租·莲塘三区 1室0厅 东南/南,莲塘三区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,义乌市
整租·黄杨梅二区 1室0厅 西南,黄杨梅二区,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1580,义乌市
整租·季宅一区 1室1厅 南,季宅一区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,1580,义乌市
整租·紫金一区 1室0厅 东南/南,紫金一区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1580,义乌市
整租·绣湖西路172号 2室1厅 东南/南,绣湖西路172号,整租,2室1厅1卫 90.00㎡ 精装修,面积：90.00㎡,3300,义乌市
整租·都会文澜 3室2厅 南,都会文澜,整租,3室2厅1卫 88.00㎡ 精装修,面积：88.00㎡,5000,义乌市
整租·诚信一区 1室1厅 西南,诚信一区,整租,1室1厅1卫 48.00㎡ 精装修,面积：48.00㎡,1980,义乌市
整租·银海二区 2室1厅 西北,银海二区,整租,2室1厅1卫 58.00㎡ 精装修,面积：58.00㎡,2500,义乌市
整租·碧桂园.云玺 3室2厅 南/北,碧桂园.云玺,整租,3室2厅2卫 99.00㎡ 精装修,面积：99.00㎡,4500,义乌市
整租·楼下新村一区 1室0厅 东南/南,楼下新村一区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1350,义乌市
整租·阳光城檀境 3室2厅 南/北,阳光城檀境,整租,3室2厅2卫 95.00㎡ 精装修,面积：95.00㎡,4000,义乌市
整租·阳光城檀境 3室2厅 南/北,阳光城檀境,整租,3室2厅2卫 113.00㎡ 精装修,面积：113.00㎡,4500,义乌市
整租·四季六区 1室0厅 南,四季六区,整租,1室0厅1卫 50.00㎡ 精装修,面积：50.00㎡,1500,义乌市
整租·厚富小区南区 1室1厅 南,厚富小区南区,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,1600,义乌市
整租·西城路517号 1室1厅 东南/南,西城路517号,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,1980,义乌市
整租·后里小区 1室1厅 南,后里小区,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,1780,义乌市
整租·建投香溪锦园 3室2厅 南,建投香溪锦园,整租,3室2厅2卫 130.00㎡ 精装修,面积：130.00㎡,3700,义乌市
整租·香山小区(义乌市) 1室0厅 东南/南/北,香山小区(义乌市),整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1380,义乌市
整租·赵宅2街 1室0厅 东南/南,赵宅2街,整租,1室0厅1卫 33.00㎡ 精装修,面积：33.00㎡,1880,义乌市
整租·春晗一区 1室0厅 东南/南/北,春晗一区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1400,义乌市
整租·柳青九区 1室0厅 南/北,柳青九区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1350,义乌市
整租·童店二区 1室0厅 东南/南,童店二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1250,义乌市
整租·长春八街 1室1厅 东南/南,长春八街,整租,1室1厅1卫 55.00㎡ 精装修,面积：55.00㎡,2500,义乌市
整租·赵宅2街 1室0厅 东南/南,赵宅2街,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1650,义乌市
整租·诚信二区 1室1厅 东南/南,诚信二区,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,2000,义乌市
整租·春晗二区 1室1厅 东南/南,春晗二区,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,1600,义乌市
整租·春晗二区 1室0厅 东南/南,春晗二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1399,义乌市
整租·站前路155号 1室0厅 东南/南,站前路155号,整租,1室0厅1卫 45.00㎡ 精装修,面积：45.00㎡,2880,义乌市
整租·香山小区(义乌市) 1室0厅 东南/南,香山小区(义乌市),整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1350,义乌市
整租·诚信一区 1室0厅 东南/南,诚信一区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1450,义乌市
整租·建设三村 1室0厅 东南/南,建设三村,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1700,义乌市
整租·留雅小区 1室0厅 南,留雅小区,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1350,义乌市
整租·留雅小区 1室0厅 南,留雅小区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,义乌市
整租·青莲二区 1室0厅 东南/南,青莲二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,义乌市
整租·向阳府一区 3室2厅 南/北,向阳府一区,整租,3室2厅2卫 108.00㎡ 精装修,面积：108.00㎡,5500,义乌市
整租·黄杨梅一区 1室1厅 东南/南,黄杨梅一区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1680,义乌市
整租·春盛小区 1室0厅 东南/南,春盛小区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,义乌市
整租·和聚园 3室2厅 南/北,和聚园,整租,3室2厅2卫 140.00㎡ 精装修,面积：140.00㎡,5200,义乌市
整租·下朱D区 1室0厅 东南/南,下朱D区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1500,义乌市
整租·拥军五区 1室1厅 东南/南,拥军五区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1880,义乌市
整租·滨江金地·万家风华 3室2厅 南,滨江金地·万家风华,整租,3室2厅2卫 99.27㎡ 精装修,面积：99.27㎡,5000,义乌市
整租·阳光城檀境 3室2厅 南/北,阳光城檀境,整租,3室2厅2卫 96.00㎡ 精装修,面积：96.00㎡,4200,义乌市
整租·望辰府翠园一区 3室2厅 南/北,望辰府翠园一区,整租,3室2厅2卫 115.00㎡ 精装修,面积：115.00㎡,5833,义乌市
整租·建设三村 1室1厅 东南/南,建设三村,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,2000,义乌市
整租·春晗三区 1室1厅 南,春晗三区,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,1700,义乌市
整租·诚信一区 1室1厅 东南/南,诚信一区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2080,义乌市
整租·都会文澜 3室2厅 南,都会文澜,整租,3室2厅2卫 118.00㎡ 精装修,面积：118.00㎡,6000,义乌市
